TRIP_ID,DAY_OF_WEEK,DATE,UNICORN,STOP_ID,STOP_SEQUENCE,STOP_NAME,SHAPE_DIST_TRAVELED,DELAY
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U488Z7,14,Nemocnice Krč,8.196819999999999,3.0
333_655_200307,Saturday,2020-05-02,333_655_200307_02_May,U228Z5,15,Kačerov,9.55995,-4.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U1502Z2,14,"Dolní Břežany,Náměstí",9.79442,72.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U1501Z2,15,"Dolní Břežany,Na kopečku",10.415989999999999,46.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U545Z2,16,Písnice,13.17327,9.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U546Z2,17,Ke Březině,13.55296,4.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U871Z2,18,Lipovická,13.7529,-21.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U369Z2,19,Sídliště Písnice,14.254439999999999,-18.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U783Z2,20,U Libušské sokolovny,14.72715,1.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U335Z2,21,Libuš,15.09715,7.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U804Z2,22,U Zvoničky,15.407820000000001,-22.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U194Z2,23,Jalodvorská,15.76668,-24.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U749Z2,24,Tempo,16.63555,-66.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U656Z2,25,Sídliště Krč,16.97438,5.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U893Z4,26,Zálesí,17.43838,-2.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U488Z7,27,Nemocnice Krč,17.991239999999998,8.0
333_1014_200307,Saturday,2020-05-02,333_1014_200307_02_May,U228Z5,28,Kačerov,19.35437,-3.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U1502Z2,7,"Dolní Břežany,Náměstí",5.31161,100.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U1501Z2,8,"Dolní Břežany,Na kopečku",5.93318,41.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U545Z2,9,Písnice,8.69046,44.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U546Z2,10,Ke Březině,9.07015,22.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U871Z2,11,Lipovická,9.27009,-10.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U369Z2,12,Sídliště Písnice,9.77163,18.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U783Z2,13,U Libušské sokolovny,10.24434,25.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U335Z2,14,Libuš,10.614339999999999,25.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U804Z2,15,U Zvoničky,10.92501,11.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U194Z2,16,Jalodvorská,11.28387,8.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U749Z2,17,Tempo,12.15274,-24.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U656Z2,18,Sídliště Krč,12.49158,-24.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U893Z4,19,Zálesí,12.95557,26.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U488Z7,20,Nemocnice Krč,13.508429999999999,31.0
333_1024_200307,Saturday,2020-05-02,333_1024_200307_02_May,U228Z5,21,Kačerov,14.87156,64.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U1502Z2,14,"Dolní Břežany,Náměstí",9.387839999999999,38.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U1501Z2,15,"Dolní Břežany,Na kopečku",10.00941,14.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U545Z2,16,Písnice,12.766689999999999,22.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U546Z2,17,Ke Březině,13.14639,7.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U871Z2,18,Lipovická,13.34632,10.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U369Z2,19,Sídliště Písnice,13.84786,4.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U783Z2,20,U Libušské sokolovny,14.320570000000002,19.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U335Z2,21,Libuš,14.690570000000001,30.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U804Z2,22,U Zvoničky,15.00124,3.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U194Z2,23,Jalodvorská,15.3601,-9.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U749Z2,24,Tempo,16.22898,-28.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U656Z2,25,Sídliště Krč,16.56781,-3.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U893Z4,26,Zálesí,17.0318,1.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U488Z7,27,Nemocnice Krč,17.58466,5.0
333_1012_200307,Saturday,2020-05-02,333_1012_200307_02_May,U228Z5,28,Kačerov,18.947789999999998,-3.0
333_651_200307,Saturday,2020-05-02,333_651_200307_02_May,U1502Z2,1,"Dolní Břežany,Náměstí",0.0,189.0
333_651_200307,Saturday,2020-05-02,333_651_200307_02_May,U1501Z2,2,"Dolní Břežany,Na kopečku",0.62157,172.0
333_651_200307,Saturday,2020-05-02,333_651_200307_02_May,U545Z2,3,Písnice,3.37885,126.0
333_651_200307,Saturday,2020-05-02,333_651_200307_02_May,U546Z2,4,Ke Březině,3.75854,97.0
